county,region,group,total_facilities,demand_acft,deficit_acft,deficit_pct_of_demand
TRINITY,H,Non-Industrial,0,2701,0,0.0
TYLER,I,Non-Industrial,0,4221,0,0.0
UPSHUR,D,Non-Industrial,0,8135,285,3.5
UPTON,F,Non-Industrial,0,15864,0,0.0
UVALDE,L,Non-Industrial,0,75323,44779,59.45
VAL VERDE,J,Non-Industrial,0,19361,6525,33.7
VAN ZANDT,D,Non-Industrial,0,11240,730,6.49
VICTORIA,L,Non-Industrial,0,77740,45602,58.66
WALKER,H,Non-Industrial,0,14988,0,0.0
WALLER,H,Non-Industrial,0,35478,2343,6.6
WARD,F,Non-Industrial,0,10687,2352,22.01
WASHINGTON,G,Non-Industrial,0,10269,2107,20.52
WEBB,M,Non-Industrial,0,84646,7075,8.36
WHARTON,K,Non-Industrial,0,282257,69691,24.69
WHEELER,A,Non-Industrial,0,19334,47,0.24
WICHITA,B,Non-Industrial,0,63226,27734,43.86
WILBARGER,B,Non-Industrial,0,41634,3531,8.48
WILLACY,M,Non-Industrial,0,94530,70215,74.28
WILLIAMSON,K,Industrial,5,201339,93710,46.54
WILSON,L,Non-Industrial,0,33820,7758,22.94
WINKLER,F,Non-Industrial,0,7167,0,0.0
WISE,C,Non-Industrial,0,42212,19962,47.29
WOOD,D,Non-Industrial,0,11997,2681,22.35
YOAKUM,O,Non-Industrial,0,132824,79379,59.76
YOUNG,B,Non-Industrial,0,6516,2567,39.4
ZAPATA,M,Non-Industrial,0,10111,3966,39.22
ZAVALA,L,Non-Industrial,0,52954,20733,39.15
