county,region,population,demand_acft,supply_acft,deficit_acft,deficit_pct,severity_tier,data_centers,semi_fabs,total_facilities
GUADALUPE,L,315934,57475,59251,6552,11.4,Moderate,0,1,1
HALE,O,40307,260587,50981,216096,82.93,Critical,0,0,0
HALL,A,3487,32844,24560,8296,25.26,Severe,0,0,0
HAMILTON,G,8703,3221,4242,16,0.5,Low,0,0,0
HANSFORD,A,7017,178385,178027,409,0.23,Low,0,0,0
HARDEMAN,B,4507,14343,14405,23,0.16,Low,0,0,0
HARDIN,I,69560,7559,8479,0,0.0,None,0,0,0
HARRIS,H,5678242,1354397,1113111,397450,29.35,Severe,2,3,5
HARRISON,D,88474,64773,162895,1737,2.68,Low,1,0,1
HARTLEY,A,6950,294106,133960,160175,54.46,Critical,0,0,0
HASKELL,G,6064,57534,42265,15288,26.57,Severe,0,0,0
HAYS,K,474801,72555,57587,18751,25.84,Severe,0,0,0
HEMPHILL,A,5297,8819,9030,0,0.0,None,0,0,0
HENDERSON,C,116100,21283,22568,2455,11.54,Moderate,0,0,0
HIDALGO,M,1696257,909164,427569,481789,52.99,Critical,0,0,0
HILL,G,43643,13970,13807,4537,32.48,Severe,1,0,1
HOCKLEY,O,27888,88731,67052,27096,30.54,Severe,0,0,0
HOOD,G,84147,39749,47064,3160,7.95,Low,0,0,0
HOPKINS,D,46610,18837,17844,6311,33.5,Severe,0,0,0
HOUSTON,I,24260,8462,11518,0,0.0,None,0,0,0
HOWARD,F,39603,20193,19369,864,4.28,Low,0,0,0
HUDSPETH,E,4511,116996,128069,238,0.2,Low,0,0,0
HUNT,D,207929,33445,23369,13864,41.45,Severe,0,0,0
HUTCHINSON,A,23990,97248,97538,394,0.41,Low,0,0,0
IRION,F,1702,3483,3069,507,14.56,Moderate,0,0,0
JACK,C,11033,7681,6306,1614,21.01,Moderate,0,0,0
JACKSON,P,15515,93207,94083,0,0.0,None,0,0,0
JASPER,I,37849,72296,96177,8932,12.35,Moderate,0,0,0
JEFF DAVIS,E,2398,1664,2801,0,0.0,None,0,0,0
JEFFERSON,I,323802,394433,360840,149713,37.96,Severe,0,0,0
JIM HOGG,M,7274,1673,2549,0,0.0,None,0,0,0
JIM WELLS,N,55533,12409,9644,2765,22.28,Moderate,0,0,0
JOHNSON,G,258414,46182,43979,9866,21.36,Moderate,0,0,0
