county,region,population_2020,population_2030,population_2040,population_2050,population_2060,population_2070,unmet_needs_2020_acft,unmet_needs_2030_acft,unmet_needs_2040_acft,unmet_needs_2050_acft,unmet_needs_2060_acft,unmet_needs_2070_acft,severity_pct,severity_tier,data_centers,semi_fabs,total_facilities
WARD,F,11454,12144,12634,13029,13329,13557,2352,2352,2352,2352,2504,2507,22.01,Moderate,0,0,0
WASHINGTON,G,36199,38516,40095,41664,42884,43880,1369,1986,2033,2107,2147,2212,20.52,Moderate,0,0,0
WEBB,M,318028,393284,464960,530330,591945,647433,4922,2658,675,7075,15028,22256,8.36,Low,0,0,0
WHARTON,P,43804,46614,48860,50804,52599,54189,83154,78523,74033,69691,65493,61453,24.69,Moderate,0,0,0
WHEELER,A,5587,5809,6019,6239,6478,6733,0,0,0,47,132,153,0.24,Low,0,0,0
WICHITA,B,135627,140573,144448,147171,149771,151982,20830,22810,25291,27734,30296,34580,43.86,Severe,0,0,0
WILBARGER,B,14465,15252,15728,16208,16542,16796,1715,2320,2925,3531,4136,4788,8.48,Low,0,0,0
WILLACY,M,25264,28479,31559,34840,38012,41121,79374,76385,73231,70215,67214,64211,74.28,Critical,0,0,0
WILLIAMSON,G,631097,771834,941827,1141301,1394412,1643646,21418,40898,65031,93710,130307,167074,46.54,Severe,1,4,5
WILSON,L,54266,66837,79044,90016,100411,109771,4285,5175,6398,7758,9487,10895,22.94,Moderate,0,0,0
WINKLER,F,8033,8817,9459,10147,10702,11181,0,0,0,0,0,0,0.0,None,0,0,0
WISE,C,79882,95086,110343,135797,162282,208872,6953,10395,14279,19962,25522,34407,47.29,Severe,0,0,0
WOOD,D,44862,46735,47488,48651,49229,49622,2128,2681,2681,2681,2681,2681,22.35,Moderate,0,0,0
YOAKUM,O,8920,10089,11128,12232,13401,14511,33734,79756,79569,79379,79205,79186,59.76,Critical,0,0,0
YOUNG,G,19336,20400,21166,21972,22759,23519,1959,2277,2389,2567,2761,3035,39.4,Severe,0,0,0
ZAPATA,M,16819,19709,22876,26365,29976,33742,3249,3434,3667,3966,4340,4787,39.22,Severe,0,0,0
ZAVALA,L,13189,14758,16161,17521,18786,19956,21235,21350,21109,20733,20148,19865,39.15,Severe,0,0,0
