county,region,population_2020,population_2030,population_2040,population_2050,population_2060,population_2070,unmet_needs_2020_acft,unmet_needs_2030_acft,unmet_needs_2040_acft,unmet_needs_2050_acft,unmet_needs_2060_acft,unmet_needs_2070_acft,severity_pct,severity_tier,data_centers,semi_fabs,total_facilities
CULBERSON,E,2695,2954,3069,3173,3233,3272,333,333,5858,5858,5858,5858,14.05,Moderate,0,0,0
DALLAM,A,7718,8668,9667,10650,11594,12503,29965,117238,109256,93385,76444,76664,39.48,Severe,0,0,0
DALLAS,C,2587960,2871662,3180529,3429783,3627334,3770858,16473,73982,126168,174502,211482,240513,24.89,Moderate,2,58,60
DAWSON,O,14807,15577,16177,16440,17098,17575,1546,1546,14953,15021,15051,15065,15.54,Moderate,0,0,0
DEAF SMITH,O,22151,25573,29314,33554,36887,40531,19946,88994,89716,90549,91394,92287,56.75,Critical,0,0,0
DELTA,D,5320,5376,5376,5376,5376,5376,268,259,261,263,265,265,7.33,Low,0,0,0
DENTON,C,891063,1115119,1329551,1584015,1866215,2113136,3954,39717,75403,118823,168623,210453,38.93,Severe,2,2,4
DEWITT,L,20855,21555,21900,22216,22425,22572,2036,1935,637,267,0,0,3.17,Low,0,0,0
DICKENS,O,2164,2164,2164,2164,2164,2164,0,0,0,0,0,0,0.0,None,0,0,0
DIMMIT,L,10875,11725,12275,12825,13246,13585,9473,9561,8901,7393,5888,5330,64.06,Critical,0,0,0
DONLEY,A,3788,3788,3788,3788,3788,3788,0,0,0,0,32,66,0.0,None,0,0,0
DUVAL,N,12715,13470,14098,14644,15080,15435,1477,1567,1504,1427,1389,1361,17.24,Moderate,0,0,0
EASTLAND,G,19289,19712,19730,19732,19732,19732,921,930,686,471,275,189,5.0,Low,0,0,0
ECTOR,F,164289,187604,210926,233048,255083,278740,2747,83,102,3981,8148,12792,8.05,Low,1,0,1
EDWARDS,J,2123,2123,2123,2123,2123,2123,157,155,153,153,153,153,14.29,Moderate,0,0,0
EL PASO,E,925565,1055903,1176945,1296927,1410527,1517340,59582,65016,69406,82882,97975,112533,23.33,Moderate,0,1,1
ELLIS,C,191638,241778,280745,360584,479939,670845,3365,10621,15249,24845,39005,64739,33.94,Severe,2,0,2
ERATH,G,42135,46923,50968,54827,58474,61844,10,13,7,8,156,355,0.04,Low,0,0,0
FALLS,G,19413,20397,20610,20126,20736,21364,127,148,161,188,209,233,1.43,Low,0,0,0
FANNIN,C,38330,43084,52891,69328,101706,137732,4358,4618,5006,7088,10890,15112,31.74,Severe,0,0,0
FAYETTE,K,28373,32384,35108,37351,39119,40476,5494,5261,4972,5080,5175,5246,8.66,Low,0,0,0
FISHER,G,4001,4001,4001,4001,4001,4001,318,291,245,216,192,172,3.44,Low,0,0,0
FLOYD,O,6869,7294,7563,7854,8081,8270,41938,42645,26307,23187,23187,23187,25.31,Severe,0,0,0
FOARD,B,1389,1401,1401,1401,1401,1401,0,0,0,0,13,24,0.0,None,0,0,0
FORT BEND,H,881966,1095123,1259307,1421933,1583782,1755164,1844,65229,81186,94382,109017,123598,25.45,Severe,1,4,5
FRANKLIN,D,11124,11627,11930,12226,12447,12622,1804,1804,1804,1804,1804,1804,40.69,Severe,0,0,0
FREESTONE,C,20437,21077,22947,31142,44475,73287,11199,11790,12821,14377,15755,19226,31.28,Severe,0,0,0
FRIO,L,19186,21144,22846,24488,25967,27304,611,771,2751,4673,6543,8497,5.52,Low,0,0,0
GAINES,O,21316,25746,30997,36654,41666,46886,107077,168931,169649,170448,171159,171905,53.88,Critical,0,0,0
GALVESTON,H,343570,377373,403820,427547,447126,465193,7938,17671,17980,18326,18720,19964,13.4,Moderate,0,0,0
GARZA,O,7077,7510,7899,8166,8569,8905,0,0,0,0,0,0,0.0,None,0,0,0
GILLESPIE,K,26795,28852,30548,32536,34365,36142,0,0,0,0,0,0,0.0,None,0,0,0
GLASSCOCK,F,1341,1429,1429,1429,1429,1429,0,0,0,0,0,0,0.0,None,0,0,0
GOLIAD,L,8427,9519,10239,10545,10759,10884,388,388,388,388,388,388,5.23,Low,0,0,0
GONZALES,L,21751,23921,25963,28330,30738,33256,0,0,0,0,0,0,0.0,None,0,0,0
GRAY,A,24439,27046,30168,34186,37388,40730,0,160,836,1384,4569,5043,3.35,Low,0,0,0
GRAYSON,C,135311,149527,159610,178907,242865,337120,1167,2442,3260,5050,10955,27722,11.26,Moderate,0,7,7
GREGG,D,133347,146034,160540,176927,195352,216203,11,19,19,14,11,17,0.03,Low,0,1,1
GRIMES,G,29441,32179,34258,36454,38277,39867,284,563,432,301,186,151,1.28,Low,0,0,0
GUADALUPE,L,182693,235318,276064,315934,356480,396261,43,480,2379,6552,10906,14765,11.4,Moderate,0,1,1
HALE,O,38314,39965,40647,40307,41369,41814,110502,216362,216232,216096,215976,215872,82.93,Critical,0,0,0
HALL,A,3393,3487,3487,3487,3487,3487,15637,14353,11459,8296,5348,6626,25.26,Severe,0,0,0
HAMILTON,G,8562,8703,8703,8703,8703,8703,145,12,14,16,19,21,0.5,Low,0,0,0
HANSFORD,A,5959,6368,6710,7017,7330,7634,0,20,98,409,751,797,0.23,Low,0,0,0
HARDEMAN,B,4274,4383,4420,4507,4552,4587,0,0,0,23,94,177,0.16,Low,0,0,0
HARDIN,I,59477,63986,67194,69560,71410,72798,0,0,0,0,0,0,0.0,None,0,0,0
HARRIS,H,4707870,5058144,5376099,5678242,5974068,6272346,21182,235133,360847,397450,436267,476817,29.35,Severe,2,3,5
HARRISON,D,70337,75538,80921,88474,96706,106413,2412,2062,1840,1737,1707,1774,2.68,Low,1,0,1
HARTLEY,A,6281,6631,6817,6950,7069,7164,84944,193146,178101,160175,142147,142163,54.46,Critical,0,0,0
HASKELL,G,5913,5973,6004,6064,6153,6285,17249,17358,15013,15288,16270,16393,26.57,Severe,0,0,0
HAYS,L,238862,313792,398384,474801,593384,728344,626,4079,10390,18751,31337,48349,25.84,Severe,0,0,0
HEMPHILL,A,4209,4609,4948,5297,5609,5895,0,0,0,0,0,0,0.0,None,0,0,0
HENDERSON,I,92383,99236,106681,116100,142441,175525,880,1354,1785,2455,4895,8890,11.54,Moderate,0,0,0
HIDALGO,M,981890,1219225,1457502,1696257,1935015,2167137,440889,449869,466839,481789,496952,511851,52.99,Critical,0,0,0
HILL,G,37828,40277,41935,43643,44937,45989,4625,4446,4462,4537,4586,4686,32.48,Severe,1,0,1
HOCKLEY,O,25130,26734,27707,27888,29134,29935,0,43079,30841,27096,27096,27096,30.54,Severe,0,0,0
HOOD,G,61316,71099,78111,84147,88785,92339,2522,2220,2691,3160,3753,5146,7.95,Low,0,0,0
HOPKINS,D,37978,40895,43555,46610,49556,52517,5942,6043,6193,6311,6517,6739,33.5,Severe,0,0,0
HOUSTON,I,24151,24260,24260,24260,24260,24260,0,0,0,0,0,201,0.0,None,0,0,0
HOWARD,F,37310,38936,39603,39603,39603,39603,816,0,0,864,1657,2406,4.28,Low,0,0,0
HUDSPETH,E,3913,4304,4424,4511,4553,4575,231,206,223,238,247,258,0.2,Low,0,0,0
HUNT,D,104894,130351,164886,207929,271952,367505,3736,6045,9335,13864,20225,29255,41.45,Severe,0,0,0
HUTCHINSON,A,22957,23779,23990,23990,23990,23990,0,164,291,394,615,622,0.41,Low,0,0,0
IRION,F,1684,1702,1702,1702,1702,1702,2273,2269,963,507,507,507,14.56,Moderate,0,0,0
JACK,C,9751,10409,10817,11033,11190,11291,162,768,1238,1614,1905,2190,21.01,Moderate,0,0,0
JACKSON,P,14606,15119,15336,15515,15627,15699,0,0,0,0,0,0,0.0,None,0,0,0
JASPER,I,36878,37695,37849,37849,37849,37849,8932,8932,8932,8932,8932,8932,12.35,Moderate,0,0,0
JEFF DAVIS,E,2398,2398,2398,2398,2398,2398,0,0,0,0,0,0,0.0,None,0,0,0
JEFFERSON,I,267379,284620,302744,323802,347030,373041,103529,145904,147136,149713,153065,157005,37.96,Severe,0,0,0
JIM HOGG,M,5853,6356,6790,7274,7694,8082,8,0,38,0,0,0,0.0,None,0,0,0
JIM WELLS,N,44987,48690,52052,55533,58600,61410,2443,2568,2651,2765,2881,3000,22.28,Moderate,0,0,0
JOHNSON,G,173835,200573,228160,258414,291047,325967,4008,4252,5877,9866,15113,20597,21.36,Moderate,0,0,0
JONES,G,21424,22676,23558,24312,24937,25446,446,589,714,954,1096,1263,13.25,Moderate,0,0,0
KARNES,L,15456,15938,15968,15968,15968,15968,2550,1976,2008,1457,1407,1378,22.44,Moderate,0,0,0
KAUFMAN,C,146389,195107,242354,306833,423277,566840,997,5572,10590,16698,26279,39375,30.97,Severe,0,0,0
KENDALL,L,42185,52213,62807,73308,84028,94549,1,283,674,1332,2980,4390,10.45,Moderate,0,0,0
KENEDY,N,463,498,504,507,508,508,58,63,32,8,0,0,0.75,Low,0,0,0
KENT,G,798,816,816,816,816,816,0,0,0,0,0,0,0.0,None,0,0,0
KERR,J,52644,55407,57044,58665,59830,60725,342,343,347,348,350,354,3.51,Low,0,0,0
KIMBLE,F,4710,4754,4754,4754,4754,4754,2332,2427,2416,2412,2411,2411,53.08,Critical,0,0,0
KING,B,300,316,316,316,316,316,0,0,0,0,0,0,0.0,None,0,0,0
KINNEY,J,3695,3720,3720,3720,3720,3720,27,27,27,27,27,27,0.52,Low,0,0,0
KLEBERG,N,35567,38963,42202,45324,48251,50989,139,389,369,353,337,327,3.41,Low,0,0,0
KNOX,G,3847,4003,4086,4183,4260,4325,15361,17769,14083,11999,11710,13915,30.55,Severe,0,0,0
LA SALLE,L,7776,8517,9209,9987,10657,11279,5272,5446,4957,3538,2122,1441,31.24,Severe,0,0,0
LAMAR,D,52170,54189,55683,57037,58092,58943,2289,2289,2297,2309,2319,2329,8.03,Low,0,0,0
