county,region,total_facilities,data_centers,semi_fabs,deficit_acft,predicted_deficit,residual,severity_tier
JASPER,I,0,0,0,8932,25623.0,-16691.0,Moderate
JEFFERSON,I,0,0,0,149713,25623.0,124090.0,Severe
JIM WELLS,N,0,0,0,2765,25623.0,-22858.0,Moderate
JOHNSON,G,0,0,0,9866,25623.0,-15757.0,Moderate
JONES,G,0,0,0,954,25623.0,-24669.0,Moderate
KARNES,L,0,0,0,1457,25623.0,-24166.0,Moderate
KAUFMAN,C,0,0,0,16698,25623.0,-8925.0,Severe
KENDALL,L,0,0,0,1332,25623.0,-24291.0,Moderate
KENEDY,N,0,0,0,8,25623.0,-25615.0,Low
KERR,J,0,0,0,348,25623.0,-25275.0,Low
KIMBLE,F,0,0,0,2412,25623.0,-23211.0,Critical
KINNEY,J,0,0,0,27,25623.0,-25596.0,Low
KLEBERG,N,0,0,0,353,25623.0,-25270.0,Low
KNOX,G,0,0,0,11999,25623.0,-13624.0,Severe
LA SALLE,L,0,0,0,3538,25623.0,-22085.0,Severe
LAMAR,D,0,0,0,2309,25623.0,-23314.0,Low
LAMB,O,0,0,0,187208,25623.0,161585.0,Critical
LAMPASAS,G,0,0,0,1725,25623.0,-23898.0,Severe
LEE,G,0,0,0,13,25623.0,-25610.0,Low
LEON,H,0,0,0,143,25623.0,-25480.0,Low
LIBERTY,H,0,0,0,9977,25623.0,-15646.0,Moderate
LIMESTONE,G,0,0,0,8555,25623.0,-17068.0,Moderate
LIPSCOMB,A,0,0,0,241,25623.0,-25382.0,Low
LIVE OAK,N,0,0,0,563,25623.0,-25060.0,Low
LLANO,K,0,0,0,584,25623.0,-25039.0,Low
LOVING,F,0,0,0,1805,25623.0,-23818.0,Severe
LUBBOCK,O,1,0,1,65459,28656.6,36802.4,Severe
LYNN,O,0,0,0,12822,25623.0,-12801.0,Moderate
MARION,D,0,0,0,502,25623.0,-25121.0,Low
MARTIN,F,0,0,0,718,25623.0,-24905.0,Low
MASON,F,0,0,0,677,25623.0,-24946.0,Low
MATAGORDA,K,0,0,0,119568,25623.0,93945.0,Severe
MAVERICK,M,0,0,0,15750,25623.0,-9873.0,Moderate
MCCULLOCH,F,0,0,0,1410,25623.0,-24213.0,Moderate
MCLENNAN,G,1,0,1,8554,28656.6,-20102.6,Low
MEDINA,L,0,0,0,38489,25623.0,12866.0,Critical
MENARD,F,0,0,0,196,25623.0,-25427.0,Low
MIDLAND,F,1,0,1,12751,28656.6,-15905.6,Moderate
MILAM,G,0,0,0,33062,25623.0,7439.0,Critical
MILLS,K,0,0,0,1737,25623.0,-23886.0,Severe
MITCHELL,F,0,0,0,12126,25623.0,-13497.0,Severe
MONTAGUE,B,0,0,0,110,25623.0,-25513.0,Low
MONTGOMERY,H,1,1,0,83518,28656.6,54861.4,Severe
