FRS_FACILITY_DETAIL_REPORT_URL,REGISTRY_ID,PRIMARY_NAME,LOCATION_ADDRESS,SUPPLEMENTAL_LOCATION,CITY_NAME,COUNTY_NAME,FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_NAME,POSTAL_CODE,FEDERAL_FACILITY_CODE,FEDERAL_AGENCY_NAME,TRIBAL_LAND_CODE,TRIBAL_LAND_NAME,CONGRESSIONAL_DIST_NUM,CENSUS_BLOCK_CODE,HUC_CODE,EPA_REGION_CODE,SITE_TYPE_NAME,LOCATION_DESCRIPTION,CREATE_DATE,UPDATE_DATE,US_MEXICO_BORDER_IND,PGM_SYS_ACRNMS,LATITUDE83,LONGITUDE83,CONVEYOR,COLLECT_DESC,ACCURACY_VALUE,REF_POINT_DESC,HDATUM_DESC,SOURCE_DESC
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110064203598,1.10064E+11,TEXAS INSTRUMENTS STAFFORD,12201 SW FWY MS600,,STAFFORD,FORT BEND,48157,TX,TEXAS,UNITED STATES,77477,,,,,22,4.81577E+14,12040104,06,STATIONARY,,9-May-15,1-Jun-17,,"EIS:3968011, TRIS:77477TXSNS12201",29.640499,-95.577272,EIS,INTERPOLATION-SATELLITE,,CENTER OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110069097765,1.10069E+11,TEXAS INSTRUMENTS INC,13500 N CENTRAL EXPY,,DALLAS,DALLAS COUNTY,,TX,TEXAS,,75243-1197,,,,,03,4.8113E+14,12030105,06,STATIONARY,,3-Jun-16,,,MN-TEMPO:42585,32.93311,-96.7537,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070059730,1.1007E+11,QORVO TEXAS,13510 N CENTRAL EXPRESSWAY,,RICHARDSON,COLLIN,48085,TX,TEXAS,UNITED STATES,75083,,,,,03,4.8085E+14,12030106,06,STATIONARY,,1-Jun-17,,,EIS:17730311,32.999972,-96.727344,EIS,,,,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070082061,1.1007E+11,TEXAS INSTRUMENTS - SHERMAN,6412 US HWY 75 SOUTH,,SHERMAN,SHERMAN COUNTY,48421,TX,,UNITED STATES,75090,,,,,,,,06,STATIONARY,,14-Jul-17,,,E-GGRT:1010134,,,,,,,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070126452,1.1007E+11,QORVO TEXAS,4331 INNOVATION DR,,FARMERS BRANCH,DALLAS,48113,TX,TEXAS,UNITED STATES,75244,,,,,24,4.8113E+14,12030103,06,STATIONARY,,17-Oct-17,,,"RCRAINFO:TXR000084087, TRIS:7524WQRVTX4331I",32.948605,-96.835445,TRIS,,,,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070165138,1.1007E+11,NORTH TEXAS EPITAXY,301 RIDGEMONT DR,,ALLEN,COLLIN,85,TX,TEXAS,UNITED STATES,750024203,,,,,03,4.8085E+14,12030106,06,,,14-Feb-18,,,TX-TCEQ ACR:RN100734169,33.08027,-96.67844,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070165240,1.1007E+11,SEMTECH CORPUS CHRISTI,121 INTERNATIONAL BLVD,,CORPUS CHRISTI,NUECES,355,TX,TEXAS,UNITED STATES,784061801,,,,,27,4.8356E+14,12110202,06,,,14-Feb-18,,,TX-TCEQ ACR:RN101057792,27.784229,-97.50224,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070296222,1.1007E+11,NXP SEMICONDUCTOR ED BLUESTEIN SITE,3501 ED BLUESTEIN BLVD,,AUSTIN,TRAVIS COUNTY,48453,TX,TEXAS,,78721-2903,,,,,25,4.8453E+14,12090205,06,STATIONARY,,27-Sep-18,,,"NPDES:TXR05FI03, OSHA-OIS:342191616",30.27065,-97.66924,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070334225,1.1007E+11,"MAXIM INTEGRATED PRODUCTS, INC.",4350 BELTWOOD PARKWAY,,FARMERS BRANCH,,,TX,,,75244,,,,,24,4.8113E+14,12030103,06,,,27-Sep-18,,,OSHA-OIS:341447555,32.949128,-96.837298,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070338037,1.1007E+11,SOLAR TEC M X LLC,9331 MILLSVIEW RD.,,HOUSTON,,,TX,,,77070,,,,,07,4.82016E+14,12040104,06,,,27-Sep-18,,,OSHA-OIS:341211167,29.965033,-95.55515,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,
